GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
54754	0.13991	0.00243	0.2997	-3.0320052	-0.9086969	26.29	NUTM2F	NUT family member 2F
240	0.13991	0.0024	0.2584	3.0359079	0.7845916	232.5	ALOX5	arachidonate 5-lipoxygenase
7351	0.13991	0.00243	0.2352	3.0321771	0.7131435	196.93	UCP2	uncoupling protein 2
440081	0.13991	0.00242	0.3195	-3.0337359	-0.969251	56.02	DDX12P	DEAD/H-box helicase 12, pseudogene
283420	0.13991	0.00238	0.5389	3.0377363	1.6369085	67.5	CLEC9A	C-type lectin domain containing 9A
387882	0.13991	0.00243	0.3763	3.0323234	1.1411362	91.58	C12orf75	chromosome 12 open reading frame 75
677843	0.14033	0.00244	0.3852	-3.0301038	-1.1670717	9.73	SNORA77	small nucleolar RNA, H/ACA box 77
100874205	0.14033	0.00245	0.333	-3.0295604	-1.0088974	67.42	ATP11A-AS1	ATP11A antisense RNA 1
8761	0.14039	0.00246	0.1178	3.0279188	0.356692	1182.77	PABPC4	poly(A) binding protein cytoplasmic 4
5753	0.14039	0.00246	0.2886	-3.0284024	-0.8740392	175.47	PTK6	protein tyrosine kinase 6
110006323	0.14044	0.00247	0.1843	-3.0270503	-0.5578455	1260.67	PKD1P4-NPIPA8	PKD1P4-NPIPA8 readthrough
100506076	0.14226	0.00251	0.3357	-3.0215678	-1.0143207	37.53	LOC100506076	uncharacterized LOC100506076
101928237	0.14226	0.00252	0.2356	-3.0208895	-0.7116306	45.46	LOC101928237	uncharacterized LOC101928237
23533	0.14226	0.00251	0.2426	3.0223691	0.7330946	106.06	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5
79137	0.14328	0.00266	0.1046	3.003994	0.3143609	2693.89	RETREG2	reticulophagy regulator family member 2
339834	0.14328	0.00263	0.32	-3.0079605	-0.9624073	13.52	IHO1	interactor of HORMAD1 1
8635	0.14328	0.00258	0.2503	3.0138499	0.7543709	663.63	RNASET2	ribonuclease T2
643862	0.14328	0.0026	0.148	-3.0118972	-0.4458459	191.84	SPDYE10	speedy/RINGO cell cycle regulator family member E10
101752334	0.14328	0.00255	0.2644	-3.0169513	-0.7976457	164.53	PVRIG2P	PVR related immunoglobulin domain containing 2, pseudogene
5294	0.14328	0.00255	0.3417	3.0171175	1.0309082	164.78	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
10863	0.14328	0.00263	0.3043	3.008039	0.915413	492.27	ADAM28	ADAM metallopeptidase domain 28
89846	0.14328	0.00264	0.2403	3.0067144	0.7225538	77.62	FGD3	FYVE, RhoGEF and PH domain containing 3
57121	0.14328	0.0026	0.4399	3.0109646	1.3245991	261.96	LPAR5	lysophosphatidic acid receptor 5
2877	0.14328	0.00264	0.3045	-3.0068604	-0.9156552	63.52	GPX2	glutathione peroxidase 2
107987234	0.14328	0.00263	0.2494	-3.0079437	-0.7501678	84.86	LOC107987234	uncharacterized LOC107987234
105371159	0.14328	0.00258	0.2741	-3.0143762	-0.8263638	14.38	LOC105371159	uncharacterized LOC105371159
8996	0.14328	0.00259	0.1539	-3.0122652	-0.4635539	420.17	NOL3	nucleolar protein 3
107984988	0.14328	0.00262	0.2949	-3.0086937	-0.8871387	21.6	LOC107984988	uncharacterized LOC107984988
409	0.14328	0.00266	0.1858	3.0044891	0.5582874	717.62	ARRB2	arrestin beta 2
